target,n_authors,threshold,balanced_accuracy,f1,minority_precision,minority_recall,roc_auc,average_precision,raw_accuracy,positive_rate_pred,positive_rate_true,model_id,split,model_name
target_E,1562,0.4999999999999999,0.5,0.0,0.0,0.0,0.5,0.2131882202304737,0.7868117797695262,0.0,0.2131882202304737,majority_author,val,Majority
target_S,1562,0.4999999999999999,0.5,0.0,0.0,0.0,0.5,0.0691421254801536,0.9308578745198464,0.0,0.0691421254801536,majority_author,val,Majority
target_T,1562,0.4999999999999999,0.5,0.0,0.0,0.0,0.5,0.3982074263764404,0.6017925736235595,0.0,0.3982074263764404,majority_author,val,Majority
target_J,1562,0.4999999999999999,0.5,0.0,0.0,0.0,0.5,0.3975672215108835,0.6024327784891165,0.0,0.3975672215108835,majority_author,val,Majority
target_E,1563,0.4999999999999999,0.5,0.0,0.0,0.0,0.5,0.2136916186820217,0.7863083813179782,0.0,0.2136916186820217,majority_author,test,Majority
target_S,1563,0.4999999999999999,0.5,0.0,0.0,0.0,0.5,0.0671785028790787,0.9328214971209212,0.0,0.0671785028790787,majority_author,test,Majority
target_T,1563,0.4999999999999999,0.5,0.0,0.0,0.0,0.5,0.3973128598848368,0.6026871401151631,0.0,0.3973128598848368,majority_author,test,Majority
target_J,1563,0.4999999999999999,0.5,0.0,0.0,0.0,0.5,0.3973128598848368,0.6026871401151631,0.0,0.3973128598848368,majority_author,test,Majority
target_E,1562,0.4999999999999999,0.6697942857422108,0.4665178571428571,0.3712255772646536,0.6276276276276276,0.7234671612214331,0.4156458173087889,0.6939820742637645,0.3604353393085787,0.2131882202304737,linear_tfidf_author,val,TF-IDF Logistic
target_S,1562,0.4899999999999999,0.647422181466198,0.2152777777777778,0.1324786324786324,0.5740740740740741,0.6831983290030058,0.1429623097590072,0.7106274007682458,0.2996158770806658,0.0691421254801536,linear_tfidf_author,val,TF-IDF Logistic
target_T,1562,0.4949999999999999,0.7209105835670795,0.6781609195402298,0.612987012987013,0.7588424437299035,0.7907522063350891,0.6968398998733796,0.7131882202304738,0.4929577464788732,0.3982074263764404,linear_tfidf_author,val,TF-IDF Logistic
target_J,1562,0.5249999999999999,0.6298187250689214,0.5389221556886228,0.5748175182481752,0.5072463768115942,0.6730753763512622,0.5818679424864464,0.6549295774647887,0.3508322663252241,0.3975672215108835,linear_tfidf_author,val,TF-IDF Logistic
target_E,1563,0.4999999999999999,0.6693760566742837,0.467502850627138,0.3775322283609576,0.6137724550898204,0.7331285354433524,0.4312342957087067,0.7012156110044786,0.3474088291746641,0.2136916186820217,linear_tfidf_author,test,TF-IDF Logistic
target_S,1563,0.4899999999999999,0.6114344503233392,0.1862917398945518,0.1142241379310344,0.5047619047619047,0.650042458684434,0.1375599741164914,0.7037747920665387,0.2968650031989763,0.0671785028790787,linear_tfidf_author,test,TF-IDF Logistic
target_T,1563,0.4949999999999999,0.6967496435787768,0.6518305814788227,0.5880829015544041,0.7310789049919485,0.7721485447415477,0.694351256467086,0.689699296225208,0.4939219449776071,0.3973128598848368,linear_tfidf_author,test,TF-IDF Logistic
target_J,1563,0.5249999999999999,0.62705775562325,0.5380710659898477,0.5668449197860963,0.5120772946859904,0.6844962750990629,0.5941048504757991,0.6506717850287908,0.3589251439539347,0.3973128598848368,linear_tfidf_author,test,TF-IDF Logistic
target_E,1562,0.3649999999999999,0.6220565561493145,0.4104308390022675,0.3296903460837887,0.5435435435435435,0.6668206041680411,0.3761629720780634,0.6670934699103713,0.351472471190781,0.2131882202304737,stage2_text_gru_sqrt,val,GRU Text
target_S,1562,0.2249999999999999,0.6128623465280962,0.1668228678537957,0.0928050052137643,0.8240740740740741,0.657662132558969,0.1281606741237476,0.4308578745198463,0.6139564660691421,0.0691421254801536,stage2_text_gru_sqrt,val,GRU Text
target_T,1562,0.4849999999999999,0.699167065745365,0.6370250606305577,0.640650406504065,0.6334405144694534,0.7758671410002053,0.6964350451042942,0.7125480153649167,0.3937259923175416,0.3982074263764404,stage2_text_gru_sqrt,val,GRU Text
target_J,1562,0.4599999999999999,0.566582129882042,0.5510835913312694,0.4476861167002012,0.71658615136876,0.5920723662256722,0.4904581361842248,0.5358514724711908,0.6363636363636364,0.3975672215108835,stage2_text_gru_sqrt,val,GRU Text
target_E,1563,0.3649999999999999,0.5958096013018714,0.3795454545454545,0.3058608058608059,0.5,0.6528261621590019,0.342678728651949,0.6506717850287908,0.3493282149712092,0.2136916186820217,stage2_text_gru_sqrt,test,GRU Text
target_S,1563,0.2249999999999999,0.5331863609641387,0.1333333333333333,0.0738461538461538,0.6857142857142857,0.6038800705467372,0.10765359364131,0.401151631477927,0.6238003838771593,0.0671785028790787,stage2_text_gru_sqrt,test,GRU Text
target_T,1563,0.4849999999999999,0.6911238294511626,0.6274193548387097,0.6284329563812601,0.6264090177133655,0.7702219897364364,0.6967115527868915,0.7044145873320538,0.3960332693538068,0.3973128598848368,stage2_text_gru_sqrt,test,GRU Text
target_J,1563,0.4599999999999999,0.565555863257331,0.5498452012383901,0.4466800804828973,0.714975845410628,0.6095076429702111,0.5056003538794004,0.5348688419705694,0.635956493921945,0.3973128598848368,stage2_text_gru_sqrt,test,GRU Text
target_E,1562,0.4949999999999999,0.594014274648937,0.3813471502590673,0.2911392405063291,0.5525525525525525,0.6273588478633231,0.3329123281564372,0.617797695262484,0.4046094750320102,0.2131882202304737,stage2_text_gru_inverse,val,GRU Text Inverse Weight
target_S,1562,0.4949999999999999,0.5970630190024964,0.1651785714285714,0.0939086294416243,0.6851851851851852,0.610397880686739,0.1192857202769892,0.5211267605633803,0.5044814340588989,0.0691421254801536,stage2_text_gru_inverse,val,GRU Text Inverse Weight
target_T,1562,0.4949999999999999,0.6869364438667305,0.6394756008739986,0.5845539280958721,0.7057877813504824,0.7489002531299173,0.6486459615960776,0.6830985915492958,0.4807938540332906,0.3982074263764404,stage2_text_gru_inverse,val,GRU Text Inverse Weight
target_J,1562,0.5049999999999999,0.5467467883722562,0.4380791912384161,0.4593639575971731,0.4186795491143317,0.5628370134214981,0.4346147846627116,0.5729833546734955,0.3623559539052496,0.3975672215108835,stage2_text_gru_inverse,val,GRU Text Inverse Weight
target_E,1563,0.4949999999999999,0.5889725837178369,0.3764219234746639,0.287519747235387,0.5449101796407185,0.6325014738626895,0.3190161668897857,0.6142034548944337,0.4049904030710173,0.2136916186820217,stage2_text_gru_inverse,test,GRU Text Inverse Weight
target_S,1563,0.4949999999999999,0.5125122476974329,0.1243184296619411,0.0701970443349753,0.5428571428571428,0.5409040433731791,0.080352643850722,0.4862444017914267,0.5195137555982086,0.0671785028790787,stage2_text_gru_inverse,test,GRU Text Inverse Weight
target_T,1563,0.4949999999999999,0.6797875832076884,0.6293294030950627,0.5801630434782609,0.6876006441223832,0.7475819768813399,0.6558487496739664,0.6781829814459372,0.4708893154190659,0.3973128598848368,stage2_text_gru_inverse,test,GRU Text Inverse Weight
target_J,1563,0.5049999999999999,0.5605890437654492,0.4587155963302752,0.4757785467128028,0.4428341384863124,0.5850043249193992,0.4731315323577177,0.5847728726807422,0.3698016634676903,0.3973128598848368,stage2_text_gru_inverse,test,GRU Text Inverse Weight
target_E,1562,0.3499999999999999,0.6465753792848992,0.4387646432374867,0.3399339933993399,0.6186186186186187,0.6913039972437858,0.4167804739484775,0.6626120358514724,0.3879641485275288,0.2131882202304737,stage2_text_emotion_gru,val,GRU Text + Emotion
target_S,1562,0.2149999999999999,0.6117160833460695,0.1753086419753086,0.1011396011396011,0.6574074074074074,0.6531980742778541,0.1398355656270884,0.5723431498079385,0.4494238156209987,0.0691421254801536,stage2_text_emotion_gru,val,GRU Text + Emotion
target_T,1562,0.4549999999999999,0.7046897448176781,0.6524390243902439,0.6202898550724638,0.6881028938906752,0.7763939248819867,0.7023481324696856,0.708066581306018,0.4417413572343149,0.3982074263764404,stage2_text_emotion_gru,val,GRU Text + Emotion
target_J,1562,0.4449999999999999,0.6157649124428222,0.5458786936236392,0.5278195488721804,0.5652173913043478,0.6633741813707622,0.5792221340109053,0.6261203585147247,0.4257362355953905,0.3975672215108835,stage2_text_emotion_gru,val,GRU Text + Emotion
target_E,1563,0.3499999999999999,0.6119173370102756,0.4004282655246253,0.3116666666666666,0.5598802395209581,0.6777307874080967,0.3830974087544077,0.6417146513115803,0.3838771593090211,0.2136916186820217,stage2_text_emotion_gru,test,GRU Text + Emotion
target_S,1563,0.2149999999999999,0.5652067411326671,0.1485148514851485,0.0853485064011379,0.5714285714285714,0.614671108498269,0.1099096178296466,0.5598208573256558,0.4497760716570697,0.0671785028790787,stage2_text_emotion_gru,test,GRU Text + Emotion
target_T,1563,0.4549999999999999,0.6929315773818681,0.6368542791056284,0.6109467455621301,0.6650563607085346,0.7727331781148821,0.7031459562339974,0.6986564299424184,0.4325015994881638,0.3973128598848368,stage2_text_emotion_gru,test,GRU Text + Emotion
target_J,1563,0.4449999999999999,0.6191267423613034,0.5484375,0.5326251896813353,0.5652173913043478,0.6679573046692034,0.5841750363325824,0.6301983365323096,0.4216250799744082,0.3973128598848368,stage2_text_emotion_gru,test,GRU Text + Emotion
